Year,Industry_code,Units,Variable_name
2021,99999,Dollars (millions),Total income
2021,99999,Dollars (millions),"Sales, government funding, grants and subsidies"
2021,99999,Dollars (millions),"Interest, dividends and donations"
2021,99999,Dollars (millions),Non-operating income
2021,99999,Dollars (millions),Total expenditure
2021,99999,Dollars (millions),Interest and donations
2021,99999,Dollars (millions),Indirect taxes
2021,99999,Dollars (millions),Depreciation
2021,99999,Dollars (millions),Salaries and wages paid
2021,99999,Dollars (millions),Redundancy and severance
2021,99999,Dollars (millions),Salaries and wages to self employed commission agents
2021,99999,Dollars (millions),Purchases and other operating expenses
2021,99999,Dollars (millions),Non-operating expenses
2021,99999,Dollars (millions),Opening stocks
2021,99999,Dollars (millions),Closing stocks
2021,99999,Dollars (millions),Surplus before income tax
2021,99999,Dollars (millions),Total assets
2021,99999,Dollars (millions),Current assets
2021,99999,Dollars (millions),Fixed tangible assets
2021,99999,Dollars (millions),Other assets
2021,99999,Dollars (millions),Total equity and liabilities
2021,99999,Dollars (millions),Shareholders funds or owners equity
2021,99999,Dollars (millions),Current liabilities
2021,99999,Dollars (millions),Other liabilities
2021,99999,Dollars,Total income per employee count
2021,99999,Dollars,Surplus per employee count
2021,99999,Percentage,Current ratio
2021,99999,Percentage,Quick ratio
2021,99999,Percentage,Return on equity
2021,99999,Percentage,Return on total assets
1999,9124,Average,City university of science & information technology
1999,9124,Average,City university of science & information technology
1999,9124,Average,City university of science & information technology
1999,9124,Average,City university of science & information technology
1999,9124,Average,City university of science & information technology
1999,9124,Average,City university of science & information technology
1999,9124,Average,City university of science & information technology
1999,9124,Average,City university of science & information technology
1999,9124,Average,city university
1999,9124,Average,sarhad university
1999,9124,Average,abasyn university
1999,9124,Average,iqra university
1999,9124,Average,peshawar university
1999,9124,Average,comsat university
1999,9124,Average,alama iqbal university
1999,9124,Average,city university
1999,9124,Average,sarhad university
1999,9124,Average,abasyn university
1999,9124,Average,iqra university
1999,9124,Average,city university
1999,9124,Average,abasyn university
1999,9124,Average,peshawar university
1999,9124,Average,alama iqbal university
1999,9124,Average,sarhad university
1999,9124,Average,iqra university
1999,9124,Average,comsat university
1999,9124,Average,city university
1999,9124,Average,abasyn university
1999,9124,Average,peshawar university
1999,9124,Average,alama iqbal university
1999,9124,Average,sarhad university
1999,9124,Average,iqra university
1999,9124,Average,comsat university
1999,9124,Average,city university
1999,9124,Average,abasyn university
1999,9124,Average,peshawar university
1999,9124,Average,alama iqbal university
1999,9124,Average,sarhad university
1999,9124,Average,iqra university
1999,9124,Average,comsat university
